ain't,am not
aren't,are not
can't,cannot
could've,could have
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
he'd,he would
he'll,he will
he's,he is
how'd,how did
how'll,how will
how's,how is
I'd,I would
I'll,I will
I'm,I am
I've,I have
isn't,is not
it'd,it would
it'll,it will
it's,it is
let's,let us
ma'am,maam
mightn't,might not
might've,might have
mustn't,must not
must've,must have
needn't,need not
she'd,she would
she'll,she will
she's,she is
should've,should have
shouldn't,should not
somebody's,somebody is
someone's,someone is
something's,something is
that'll,that will
that's,that is
there'd,there would
there's,there is
they'd,they would
they'll,they will
they're,they are
they've,they have
wasn't,was not
we'd,we would
we'll,we will
we're,we are
we've,we have
weren't,were not
what's,what is
when's,when is
where'd,where would
where's,where is
who'd,who would
who'll,who will
who's,who is
why're,why are
why's,why is
won't,will not
would've,would have
wouldn't,would not
y'all,you all
you'd,you would
you'll,you will
you're,you are
you've,you have